,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,n_estimators,error
573,0.2,2,1,0.6,0.4,900,19.848803506964146
708,0.2,4,1,0.6,0.4,900,19.848803506964146
430,0.2,1,1,0.5,0.8,500,19.851274722833512
147,0.1,2,1,0.1,0.8,700,19.852582839013
17,0.1,1,1,0.5,0.4,700,19.852933338687812
300,0.1,4,1,0.6,0.4,500,19.855779579607137
165,0.1,2,1,0.6,0.4,500,19.855779579607137
1140,0.3,4,2,0.5,0.4,500,19.85631694561433
1005,0.3,2,2,0.5,0.4,500,19.85631694561433
826,0.3,1,1,0.5,0.4,600,19.867042515778355
32,0.1,1,1,0.6,0.4,700,19.867597758792034
484,0.2,1,2,0.6,0.4,1000,19.868872794150807
556,0.2,2,1,0.5,0.4,600,19.87040557777645
691,0.2,4,1,0.5,0.4,600,19.87040557777645
20,0.1,1,1,0.5,0.6,500,19.872914465813583
1157,0.3,4,2,0.6,0.4,700,19.876320165732793
1022,0.3,2,2,0.6,0.4,700,19.876320165732793
1009,0.3,2,2,0.5,0.4,1000,19.879914091528374
1144,0.3,4,2,0.5,0.4,1000,19.879914091528374
571,0.2,2,1,0.6,0.4,600,19.885323043385913
706,0.2,4,1,0.6,0.4,600,19.885323043385913
687,0.2,4,1,0.1,0.8,700,19.89061068702506
870,0.3,1,2,0.5,0.4,500,19.89798682778712
282,0.1,4,1,0.1,0.8,700,19.90210430601262
19,0.1,1,1,0.5,0.4,1000,19.905203368925843
465,0.2,1,2,0.5,0.4,500,19.912101293658694
738,0.2,4,2,0.5,0.4,900,19.919103295454352
603,0.2,2,2,0.5,0.4,900,19.919103295454352
